수집시간,요일,도서관명,열람실명,전체좌석,사용좌석,잔여좌석
2026-04-05 14:30:00,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 14:30:00,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 14:30:00,Sunday,대치도서관,노트북석,12,9,3
2026-04-05 14:30:00,Sunday,대치도서관,정보자료실,2,0,2
2026-04-05 14:30:00,Sunday,대치도서관,집중열람실,78,76,2
2026-04-05 14:30:00,Sunday,도곡정보문화도서관,5층 제1열람실,108,75,33
2026-04-05 14:30:00,Sunday,도곡정보문화도서관,6층 제2열람실,136,95,41
2026-04-05 14:30:00,Sunday,도곡정보문화도서관,6층 제3열람실,86,59,27
2026-04-05 14:30:00,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 14:30:00,Sunday,못골도서관,1층 노트북석,8,8,0
2026-04-05 14:30:00,Sunday,못골도서관,1.5층 계단 열람석,36,36,0
2026-04-05 14:30:00,Sunday,못골도서관,2층 열람석,30,29,1
2026-04-05 14:30:00,Sunday,역삼2동작은도서관,집중학습실,46,35,11
2026-04-05 14:30:00,Sunday,역삼푸른솔도서관,열람실,70,39,31
2026-04-05 14:30:00,Sunday,역삼푸른솔도서관,노트북실,12,12,0
2026-04-05 15:00:03,Sunday,논현도서관,집중학습실,62,30,32
2026-04-05 15:00:03,Sunday,논현도서관,노트북전용석,8,5,3
2026-04-05 15:00:03,Sunday,논현도서관,복도열람석,4,3,1
2026-04-05 15:00:03,Sunday,논현도서관,DVD감상실,2,0,2
2026-04-05 15:00:03,Sunday,논현도서관,원문검색,1,0,1
2026-04-05 15:00:03,Sunday,대치도서관,노트북석,12,11,1
2026-04-05 15:00:03,Sunday,대치도서관,정보자료실,2,2,0
2026-04-05 15:00:03,Sunday,대치도서관,집중열람실,78,77,1
2026-04-05 15:00:03,Sunday,도곡정보문화도서관,5층 제1열람실,108,77,31
2026-04-05 15:00:03,Sunday,도곡정보문화도서관,6층 제2열람실,136,100,36
2026-04-05 15:00:03,Sunday,도곡정보문화도서관,6층 제3열람실,86,62,24
2026-04-05 15:00:03,Sunday,못골도서관,1층 열람석,18,0,0
2026-04-05 15:00:03,Sunday,못골도서관,1층 노트북석,8,7,1
2026-04-05 15:00:03,Sunday,못골도서관,1.5층 계단 열람석,36,35,1
2026-04-05 15:00:03,Sunday,못골도서관,2층 열람석,30,30,0
